"awayAST.awayBLK.awayPF.awayORB.awayDRB.awayTRB.homeAST.homeBLK.homePF.homeORB.homeDRB.homeTRB.awayFGR.homeFGR.away2PR.home2PR.away3PR.home3PR.awayFTR.homeFTR.homeAttR.awayAttR.homeScore.awayScore.win"
"1","1 21.5 6.25 21.25 10.25 29.75 40 22 5.375 18.125 12 28.75 40.75 0.448839630143336 0.431060009386045 0.481342267215364 0.43757906940135 0.322457025151491 0.36270489243635 0.830270350601671 0.798258336447971 0.340577729348726 0.345366156708397 58 66 FALSE"
"2","2 21.3333333333333 6.33333333333333 21.3333333333333 9.88888888888889 31.1111111111111 41 21.3333333333333 5 18.3333333333333 11.4444444444444 28.6666666666667 40.1111111111111 0.450250611409461 0.423442230565374 0.485637570858101 0.432361950578977 0.316258096430955 0.350182126610089 0.828295867201486 0.798451854620419 0.335954545217195 0.34362217592639 81 78 TRUE"
"3","3 21.4444444444444 6 20.4444444444444 10.5555555555556 31.2222222222222 41.7777777777778 21.6666666666667 4.55555555555556 19.1111111111111 10.5555555555556 28.1111111111111 38.6666666666667 0.450861112019962 0.436857788284729 0.492906780366117 0.448145119192335 0.295560928674964 0.374379657474287 0.822102173507792 0.763659486494717 0.349143875932299 0.34563032218006 70 74 TRUE"
"4","4 22.7777777777778 5.33333333333333 20.7777777777778 10.7777777777778 30.4444444444444 41.2222222222222 21.3333333333333 4.22222222222222 19.6666666666667 10.3333333333333 29.1111111111111 39.4444444444444 0.446089363527283 0.447250173677114 0.493005898217242 0.46008812223986 0.285272862831342 0.386517846083063 0.807355161049109 0.76228017614989 0.359969919367038 0.344636254519326 80 63 FALSE"
"5","5 23.3333333333333 5.77777777777778 20.7777777777778 11.3333333333333 29.8888888888889 41.2222222222222 21.6666666666667 4.55555555555556 19.3333333333333 10.1111111111111 29.4444444444444 39.5555555555556 0.446722533461924 0.446478568738843 0.496908014619358 0.46008812223986 0.265828418386898 0.384112843678061 0.798677553050618 0.763656165141978 0.357322081767744 0.353975730133554 67 75 FALSE"
"6","6 22.7777777777778 5.88888888888889 20.5555555555556 10.8888888888889 31 41.8888888888889 21.3333333333333 4.77777777777778 19.5555555555556 10.1111111111111 30.2222222222222 40.3333333333333 0.442037125162057 0.442147917147917 0.494738294272203 0.462608851924768 0.257242559801039 0.360526597585421 0.802381256754322 0.754837822990302 0.354103024951391 0.347802890627381 77 58 TRUE"
"7","7 22.2222222222222 6 21 10.8888888888889 29.5555555555556 40.4444444444444 21 4.66666666666667 20.3333333333333 10.2222222222222 30.2222222222222 40.4444444444444 0.433934276404601 0.443988266814354 0.490631842404557 0.461208494592208 0.235150292094737 0.390156227215051 0.817413936492884 0.76704321019569 0.348207333341414 0.338216833982501 76 77 TRUE"
"8","8 21.6666666666667 5.77777777777778 21.6666666666667 12.3333333333333 29.6666666666667 42 21.6666666666667 5 21 10.1111111111111 29.6666666666667 39.7777777777778 0.421145175910856 0.448446428679923 0.479520731293446 0.472039100794483 0.222718279662724 0.376511003043511 0.797308116387064 0.766568376387522 0.353477309199625 0.332616354797116 67 64 TRUE"
"9","9 21 6 21.5555555555556 12.1111111111111 29.5555555555556 41.6666666666667 22.6666666666667 4.66666666666667 20.6666666666667 9.88888888888889 30.2222222222222 40.1111111111111 0.426788408813773 0.453350406732049 0.485605387378102 0.476655657649846 0.224855031799476 0.388721015253523 0.796073548485829 0.745073667392813 0.358783431648605 0.335852600751809 67 87 FALSE"
"10","10 21 5.66666666666667 20.8888888888889 12.2222222222222 30.8888888888889 43.1111111111111 22.6666666666667 4.77777777777778 20.6666666666667 10.4444444444444 29.6666666666667 40.1111111111111 0.429710041365035 0.44915343867966 0.480477182249897 0.476574257568446 0.261799476243921 0.379461755994264 0.750321914498901 0.721854094383619 0.355631343390134 0.335383052663213 55 60 FALSE"
